Prop_gr_1_2,pval1,Survived_e_6wks,pval2
Aat2,0.429,Aat2,0.723
Acon5,0.52,Acon5,0.589
Acy1,0.126,Acy1,0.018000000000000002
Anna,0.409,Anna,0.251
Baez,0.24,Baez,0.508
Baronharkonnen,0.611,Baronharkonnen,0.563
Beatles,0.251,Beatles,0.20600000000000002
Bertha,0.878,Bertha,0.54
Black_Crow,0.529,Black_Crow,0.41
Blackbird,0.493,Blackbird,0.006500000000000001
BlueJay,0.446,BlueJay,0.00833333333
C1,0.6659999999999999,C1,0.8490000000000001
C147,0.645,C147,0.41200000000000003
C204,0.75,C204,0.365
C21,0.42700000000000005,C21,0.632
C216_pigtail,0.718,C216_pigtail,0.445
C234,0.8109999999999999,C234,0.951
C259,0.777,C259,0.66
C278_PT,0.20199999999999999,C278_PT,0.474
C294,0.121,C294,0.061
C316,0.9420000000000001,C316,0.6779999999999999
C334,0.9420000000000001,C334,0.045
C367,0.264,C367,0.843
C368_PigTail,0.804,C368_PigTail,0.72
C485,0.625,C485,0.782
C487_PigTail,0.8490000000000001,C487_PigTail,0.8079999999999999
C536,0.127,C536,0.8240000000000001
Cactustree,0.094,Cactustree,0.268
Carey,0.316,Carey,0.43200000000000005
Carnival,0.489,Carnival,0.85
Coolwater,0.044000000000000004,Coolwater,0.098
Coyote,0.451,Coyote,0.171
Darwi_Odrade,0.10800000000000001,Darwi_Odrade,0.838
Daytripper,0.071,Daytripper,0.899
Deadpool,0.938,Deadpool,0.23399999999999999
DiamondJoe,0.081,DiamondJoe,0.053
EmmaFrost,0.41100000000000003,EmmaFrost,0.805
G3pdh1,0.305,G3pdh1,0.875
Glassonionv2,0.324,Glassonionv2,0.7170000000000001
Handydandy,0.833,Handydandy,0.6859999999999999
Harvest,0.795,Harvest,0.44799999999999995
Heartland,0.647,Heartland,0.426
i-109,0.441,i-109,0.059000000000000004
i-113,0.52,i-113,0.71
i-114,0.265,i-114,0.573
i-120_PigTail,0.502,i-120_PigTail,0.551
i-126,0.523,i-126,0.365
i-127,0.9840000000000001,i-127,0.644
i-132,0.264,i-132,0.384
i-135,0.413,i-135,0.134
i129,0.6920000000000001,i129,0.151
Imagine,0.8959999999999999,Imagine,0.053
Jackstraw_PigTail,0.9059999999999999,Jackstraw_PigTail,0.746
Jam_session,0.40399999999999997,Jam_session,0.745
Jericho,0.713,Jericho,0.685
Jerry-Garcia,0.684,Jerry-Garcia,0.466
Jokerman,0.17800000000000002,Jokerman,0.836
Jude,0.593,Jude,0.885
Julia,0.602,Julia,0.568
KittyPryde,0.44799999999999995,KittyPryde,0.39
Maggiemae,0.93,Maggiemae,0.217
Majesty,0.922,Majesty,0.7559999999999999
Milesteg,0.506,Milesteg,0.45799999999999996
Millionmiles,0.774,Millionmiles,0.679
Monkey,1.0,Monkey,0.365
Mozambique,0.384,Mozambique,0.684
NeilYoung,0.92,NeilYoung,0.442
NettieMoore,0.35200000000000004,NettieMoore,0.182
Pam,0.16,Pam,0.373
Percy,0.21899999999999997,Percy,0.894
Pgm1,0.152,Pgm1,0.75
Piggies,0.34700000000000003,Piggies,0.18
Psylocke,0.066,Psylocke,0.105
Queenjane,0.27399999999999997,Queenjane,0.122
Ramble,0.258,Ramble,0.26899999999999996
red_ant,0.43700000000000006,red_ant,0.027000000000000003
SamStonev2,0.847,SamStonev2,0.284
Seastones,0.965,Seastones,0.00043749999999999995
Sinv-25,0.5720000000000001,Sinv-25,0.374
Sinv12,0.42100000000000004,Sinv12,0.293
Siona,0.217,Siona,0.79
Sol-11,0.053,Sol-11,0.532
Sol-18,0.11,Sol-18,0.753
Sol-20,0.997,Sol-20,0.428
Sol-42f,0.455,Sol-42f,0.201
Sol-49,0.526,Sol-49,0.381
Sol-6,0.252,Sol-6,0.9329999999999999
Sol-J1,0.993,Sol-J1,0.23
Sol-M2,0.45,Sol-M2,0.5589999999999999
Sol-M3,0.45,Sol-M3,0.373
Starr,0.568,Starr,0.7709999999999999
Sun_King,0.489,st_stephen,0.0
sunrise,0.29600000000000004,Sun_King,0.168
Sway,0.961,sunrise,0.0055000000000000005
Taxman,0.237,Sway,0.679
Tombstone_blues,0.424,Taxman,0.46799999999999997
Trouble,0.48100000000000004,Tombstone_blues,0.6679999999999999
Tweedy,0.225,Trouble,0.020499999999999997
Walrus,0.779,Tweedy,0.008
Weight,0.527,Walrus,0.599
Wigwam,0.162,Weight,0.08199999999999999
WorkingmanBlues,0.28800000000000003,Wigwam,0.077
Yellowsubmarine,0.6759999999999999,WorkingmanBlues,0.054000000000000006
,,Yellowsubmarine,0.39899999999999997
